date,open,close,volume,cap,open_change,volume_change,cap_change
"Sep 18, 2018",197.1,209.98,1800640000,21426628309,-0.11048,-0.10855,0.06136
"Sep 17, 2018",221.58,197.88,2019910000,20187902505,-0.00548,0.34458,-0.10279
"Sep 16, 2018",222.8,220.59,1502260000,22500748646,0.06191,-0.10071,-0.01094
"Sep 15, 2018",209.81,223.07,1670490000,22749647321,-0.01345,-0.25164,0.05369
"Sep 14, 2018",212.67,211.75,2232190000,21590366996,0.15783,-0.04227,0.00207
"Sep 13, 2018",183.68,211.35,2330720000,21545775837,-0.00938,0.24315,0.15309
"Sep 12, 2018",185.42,183.33,1874850000,18685319378,-0.06439,0.19501,-0.00918
"Sep 11, 2018",198.18,185.07,1568900000,18858381966,0.00167,0.04387,-0.06077
"Sep 10, 2018",197.85,197.08,1502960000,20078523984,-0.00272,-0.05235,0.00099
"Sep 09, 2018",198.39,196.92,1585980000,20058708800,-0.08958,0.04533,-0.00499
"Sep 08, 2018",217.91,197.95,1517200000,20159309964,-0.05067,-0.09597,-0.08845
"Sep 07, 2018",229.54,217.2,1678260000,22115522904,-0.00911,-0.1998,-0.05633
"Sep 06, 2018",231.65,230.22,2097310000,23435751842,-0.19018,-0.12261,-0.00891
"Sep 05, 2018",286.05,232.33,2390390000,23646371777,-0.01123,0.53736,-0.1867
"Sep 04, 2018",289.3,285.72,1554870000,29074743101,-0.01992,0.11501,-0.01202
"Sep 03, 2018",295.18,289.26,1394490000,29428616901,-0.00091,0.05559,-0.01717
"Sep 02, 2018",295.45,294.37,1321050000,29942718225,0.04215,-0.14585,-0.00308
"Sep 01, 2018",283.5,295.34,1546630000,30035327410,-0.00218,0.09542,0.0438
"Aug 31, 2018",284.12,283,1411910000,28774922508,-0.01943,-0.06688,-0.00367
"Aug 30, 2018",289.75,284.11,1513100000,28881058148,-0.02164,0.02621,-0.0178
"Aug 29, 2018",296.16,289.31,1474460000,29404459725,0.03318,-0.0257,-0.02404
"Aug 28, 2018",286.65,296.5,1513350000,30128902937,0.04104,0.07575,0.03836
"Aug 27, 2018",275.35,285.6,1406790000,29015874948,-0.01495,0.16586,0.03802
"Aug 26, 2018",279.53,275.2,1206650000,27953028997,-0.01324,-0.00142,-0.01571
"Aug 25, 2018",283.28,279.65,1208360000,28399212923,0.01859,-0.16675,-0.01154
"Aug 24, 2018",278.11,282.97,1450170000,28730705349,0.0234,0.14082,0.02137
"Aug 23, 2018",271.75,277.1,1271160000,28129662664,-0.03624,-0.15687,0.02144
"Aug 22, 2018",281.97,271.34,1507660000,27539119679,0.03161,0.29511,-0.03741
"Aug 21, 2018",273.33,281.94,1164120000,28609531323,-0.09307,-0.1766,0.02802
"Aug 20, 2018",301.38,274.32,1413790000,27829775231,0.01931,-0.02357,-0.08797
"Aug 19, 2018",295.67,300.83,1447910000,30514025774,-0.06667,-0.1792,0.01718
"Aug 18, 2018",316.79,295.81,1764020000,29998584852,0.10119,-0.11598,-0.06289
"Aug 17, 2018",287.68,315.73,1995460000,32011921283,0.01747,0.28493,0.09633
"Aug 16, 2018",282.74,288.05,1552970000,29199228646,0.00838,-0.17314,0.02033
"Aug 15, 2018",280.39,282.36,1878150000,28617473116,-0.02088,-0.12148,0.01251
"Aug 14, 2018",286.37,278.93,2137850000,28263969132,-0.10568,0.2208,-0.0262
"Aug 13, 2018",320.21,286.5,1751190000,29024490503,-0.0019,0.07738,-0.10332
"Aug 12, 2018",320.82,319.57,1625420000,32368768332,-0.04021,-0.09213,-0.00769
"Aug 11, 2018",334.26,322.11,1790370000,32619681420,-0.08617,0.05353,-0.0359
"Aug 10, 2018",365.78,334.18,1699400000,33834485092,0.02468,0.05121,-0.08574
"Aug 09, 2018",356.97,365.59,1616610000,37007391031,-0.06033,-0.19814,0.02538
"Aug 08, 2018",379.89,356.61,2016080000,36091566801,-0.06615,0.10268,-0.06188
"Aug 07, 2018",406.8,380.22,1828350000,38472420233,-0.00918,0.32022,-0.06484
"Aug 06, 2018",410.57,406.66,1384880000,41139790462,0.0079,-0.00855,-0.0092
"Aug 05, 2018",407.35,410.52,1396820000,41521715110,-0.02604,-0.04754,0.00822
"Aug 04, 2018",418.24,407.25,1466540000,41183215694,0.01374,-0.14852,-0.02612
"Aug 03, 2018",412.57,418.26,1722340000,42287977978,-0.01958,0.09752,0.01388
"Aug 02, 2018",420.81,412.62,1569300000,41709183608,-0.0301,-0.16883,-0.01911
"Aug 01, 2018",433.87,420.75,1888060000,42521937218,-0.05113,0.03701,-0.03004
"Jul 31, 2018",457.25,433.87,1820680000,43839034237,-0.02052,-0.14985,-0.05059
"Jul 30, 2018",466.83,457.08,2141590000,46175217427,-0.00019,0.31232,-0.02034
"Jul 29, 2018",466.92,466.67,1631910016,47133881666,-0.00588,0.06529,-0.0003
